source_name,source_url,license,download_date,file_name,sha256,record_count,notes
ECUSTFD,https://github.com/Liang-yc/ECUSTFD-resized-,research-use-only-pending-license-clarification,2026-09-12,ECUSTFD-resized-@59603e70c99807af46df9af3c2c507995fdd0029,2a8e364885a87fab7caa2f381f2dce0c434cb020b30c9a85898898e595e5233e,2703,"255 MB checkout excluding Git metadata; 2,978 annotation files require audit against 2,703 image files. Calories will be derived from measured mass and a versioned kcal-per-100-g mapping."
USDA Foundation Foods,https://fdc.nal.usda.gov/fdc-datasets/FoodData_Central_foundation_food_csv_2026-04-30.zip,CC0-1.0,2026-09-12,FoodData_Central_foundation_food_csv_2026-04-30.zip,,394,"3.7 MB compressed official release; used only for reviewed energy-density mappings in configs/energy_density.yaml."
